SelCoeff FST TD_EAS TD_NAM
115 0.253485 0.107201 -1.027128
291 0.156416 -0.979328 1.963916
224 0.243074 0.830495 1.169968
267 0.174648 -0.811396 0.436300
144 0.126162 -0.757177 0.904596
192 0.241981 0.010302 -0.214537
15 0.253767 0.395975 -1.441130
94 0.015913 -1.012744 0.589275
192 0.197998 -1.072125 -0.713531
167 0.074243 -1.828710 -0.786061
233 0.247045 0.669043 2.355211
264 0.174841 1.007230 -0.397106
171 0.096236 -0.763119 0.412127
112 -0.000526 0.356620 1.076057
118 0.121235 -1.251053 0.119870
273 0.723795 -2.363245 -0.646236
126 0.363048 1.626581 -0.125023
255 0.422207 -0.655914 -0.954777
48 0.228489 -1.142343 0.099227
170 0.251292 -0.817965 0.595873
94 0.050253 -1.067137 0.512568
17 0.168929 0.708531 -1.651585
262 0.246836 -2.418128 -1.893984
233 0.232476 0.350318 2.679446
143 0.089642 0.921374 0.204776
233 0.241368 0.482607 3.098322
56 0.619485 -0.778627 -0.744164
131 0.472862 -1.436306 -1.839674
138 0.083436 -1.335936 -1.843733
288 0.201774 -0.253721 1.777272
204 -0.036786 -0.507538 0.504091
247 0.321202 1.781254 -2.560030
280 0.225719 -0.424808 1.438548
37 0.113775 -0.777631 0.774427
218 0.242931 2.904287 -0.762493
69 0.078979 -1.049862 -1.308283
139 0.264161 -0.508523 -0.685806
100 0.061825 1.183505 -0.756918
230 0.254911 -1.782933 1.426701
265 0.165133 -0.439922 -1.746798
39 0.171875 -0.243233 -0.799966
106 0.082815 -0.787709 1.171177
35 0.198344 1.033557 2.334156
26 0.183411 -0.221431 -0.606825
36 0.104209 1.701680 2.002286
220 0.574400 -0.631038 -0.075128
291 0.155385 -1.254424 0.564655
61 0.082332 1.643349 0.504732
209 0.133568 -0.674711 1.384868
158 0.076587 -0.205570 1.688153
291 0.197354 -1.052680 -0.347057
263 0.334488 0.984010 -1.932316
103 0.101683 0.481919 0.015309
49 -0.004284 -0.322222 1.847673
228 0.724875 -1.407076 -1.853881
195 0.227452 -2.094520 0.328629
48 0.285854 -0.530313 0.135650
178 0.251782 0.716948 2.714976
56 0.607089 -1.014185 -0.492575
231 0.207060 -1.954982 1.396151
35 0.187388 1.435107 1.937872
161 0.431440 0.034766 -1.186293
136 0.010203 -2.134019 0.339413
74 0.197350 -1.906900 0.640351
140 0.193807 -1.756044 -0.874876
11 0.052998 -1.188795 -2.171286
267 0.219168 0.613476 -0.600391
286 0.143449 -1.293324 -1.216051
209 0.123449 -0.754061 1.317941
97 0.061294 0.493204 -1.020428
234 0.169701 -1.506237 0.417292
101 0.216633 0.159216 1.664363
135 0.524657 2.310066 -0.089349
256 0.216286 -0.392080 -1.035512
47 0.201766 0.223631 -0.406404
95 0.024007 -1.002990 0.959851
294 0.551932 1.862996 0.329654
117 0.189330 0.028511 0.853214
233 0.247585 0.667034 2.413210
140 0.200513 -1.787921 -1.741119
84 -0.002012 0.600807 -1.128965
231 0.248624 -1.868546 1.550223
231 0.202462 -2.024782 -0.419663
201 0.410894 1.586186 -0.707170
123 0.146735 -1.318183 0.438423
254 0.295523 1.118178 -1.908516
256 0.197140 0.386033 -1.779175
218 0.247165 2.210336 -0.202283
154 0.172796 2.764253 0.167813
6 0.231904 0.033222 2.395929
201 0.400542 2.088952 -0.329261
195 0.240865 -1.867067 1.862070
264 0.180588 1.077105 -0.573190
42 0.144507 -0.760559 -0.356422
129 0.306511 0.046150 -1.183055
289 0.241187 -1.696711 0.821631
129 0.343249 0.351102 -0.985652
192 0.192302 -0.874706 -0.018445
271 0.180718 0.369321 -0.986999
96 0.033913 -0.940554 2.774623
222 0.656509 -0.600796 -1.422403
201 0.380257 1.807599 -0.405568
265 0.180065 0.216169 -1.521435
100 0.054296 0.964136 -0.104937
119 0.076238 0.286160 2.765009
21 0.185676 -0.417559 0.941206
49 -0.001129 -0.652734 1.210587
264 0.179119 0.894711 -0.572779
121 0.198626 -0.476465 -2.167181
206 0.073854 -0.855956 -0.176350
196 0.226057 0.373010 1.266315
56 0.608052 -0.436241 -0.369451
106 0.107491 -1.160423 0.720649
162 0.052863 -1.271219 -1.722050
26 0.162032 -1.104145 -0.598780
189 0.132774 -1.996577 -0.432123
136 0.032324 -2.062379 -1.196605
8 0.024030 -0.780827 -0.853725
114 0.240402 -1.567479 -0.310949
275 0.035704 -1.792399 -2.515804
109 0.075916 2.223452 0.447932
63 0.017898 0.483534 0.043340
119 0.070429 -0.374347 2.354871
197 0.208148 0.567716 -0.611342
257 0.225358 -0.419890 -1.073370
155 0.174823 2.583742 0.205706
4 0.245832 0.212477 1.994873
62 0.215187 -1.300589 1.349986
67 -0.004734 1.362763 2.177270
62 0.170482 -1.126500 -0.556492
78 0.128057 0.923303 0.383629
118 0.168425 0.404729 0.225831
205 0.402670 2.166488 -1.075173
184 0.465605 0.549768 0.627003
28 0.205220 -0.513490 0.145871
174 0.253471 0.091176 -0.863458
91 0.222439 0.272383 0.478492
230 0.236262 -1.739419 1.523853
114 0.216257 -1.597795 -0.420789
30 0.151288 -0.018112 0.831414
265 0.156247 -0.445687 1.023151
0 0.066820 -0.413055 2.314068
100 0.056748 1.137785 -0.512944
163 0.130305 -1.865345 0.469227
253 0.110769 -1.231533 -1.462695
211 0.123408 -0.816991 1.199204
77 0.128299 0.867020 0.477405
54 0.074900 0.579623 -1.298505
38 0.189431 -0.006402 -0.246777
106 0.101896 -0.628680 0.287394
165 0.178866 -0.637463 1.121117
32 -0.004685 1.506536 1.692215
81 0.052088 -2.075895 -1.372509
254 0.288580 0.708867 -1.139758
130 0.364092 1.160813 -0.706986
29 0.021923 0.223000 0.578399
81 0.064056 -1.977938 -2.049641
56 0.653339 -0.802542 -0.247996
282 0.052005 -1.553459 -2.007840
284 0.241748 -0.736870 -0.956284
170 0.296839 -0.450587 0.528502
188 0.157333 -2.068406 -0.180390
122 0.341465 -2.077784 -0.356996
280 0.223468 1.067888 1.613591
212 0.133629 -0.949329 1.490267
150 0.156619 0.158673 2.238218
65 0.130661 0.763771 1.869792
157 0.108754 0.610885 0.600739
28 0.179006 -1.097352 0.397132
42 0.219480 -0.467923 0.084963
67 -0.024080 0.967496 2.360363
210 0.112047 -0.987665 0.827469
134 0.421715 -1.252585 0.083907
53 0.100455 1.568126 1.657904
85 0.085991 -1.779605 -1.696499
238 0.314026 -1.898215 1.191722
200 0.305220 -1.672620 0.625949
145 0.103468 1.131090 -1.139349
108 0.107522 0.127691 -0.067335
253 0.111646 -1.259592 -1.786290
196 0.156672 -1.105035 -0.499718
156 0.500640 0.840253 -1.803478
266 0.482748 0.633935 -0.646579
176 0.204188 -1.488520 -1.926729
162 0.142228 0.476152 -0.584129
249 0.285282 -0.289918 1.124314
94 0.039712 -1.345195 1.256000
252 0.148631 0.528635 -1.259425
201 0.376927 1.744044 0.300028
2 0.016577 -1.273950 -0.257917
262 0.191989 -2.444884 -1.578340
96 0.023848 -1.528950 0.786663
176 0.201863 -1.697504 -1.987206
107 0.094030 2.770619 0.891439
34 0.126237 -1.416544 0.385310
40 0.129370 0.063324 1.433409
148 0.418621 -1.163026 1.182064
161 0.434697 0.085784 -1.293346
272 0.176350 0.713412 -0.691867
226 0.450263 -0.815869 -0.100646
70 0.350071 -2.331294 2.107168
163 0.136792 -1.274317 -0.440018
165 0.155823 -0.592843 1.015420
278 0.211620 0.097781 -0.139687
141 0.242815 -1.021398 -1.167841
112 0.011897 -0.197628 1.139103
19 0.177541 0.537087 -0.126617
132 0.226128 -0.263381 1.416237
43 0.070758 0.777507 0.448120
216 0.710021 1.160501 -0.106780
226 0.473245 -0.553984 0.386484
155 0.190437 2.823961 0.795560
139 0.249166 -1.049562 -0.305871
7 0.242209 -0.019994 2.465983
273 0.745611 -2.412619 -0.172104
59 0.035496 1.757851 1.142598
99 0.195126 1.228687 0.255804
268 0.392460 0.982197 -0.874850
165 0.145025 -0.435402 1.153683
71 0.335012 -0.439345 2.318161
227 0.291665 -0.868191 -2.119562
155 0.170426 2.523289 0.448940
127 0.561041 1.886815 -1.082677
124 0.105183 -2.007181 -0.200976
176 0.228758 -1.239845 -1.913474
248 0.262312 -1.166049 -0.618130
217 0.184360 -0.545761 1.583703
176 0.209937 -1.227913 -2.108101
15 0.280295 0.225246 -1.423392
216 0.710206 1.008176 -0.784836
212 0.114081 -1.139928 0.913637
204 -0.038319 -0.898839 0.437780
247 0.324817 2.560631 -2.514471
295 0.564537 1.817990 0.352514
279 0.068360 0.219602 1.502672
22 0.174608 -0.115254 0.094089
287 0.465322 -1.670848 1.072783
239 0.437968 0.876137 -1.053086
245 0.287689 1.025691 -0.154708
65 0.134184 0.907732 1.510424
229 0.024062 -1.812459 -1.271291
131 0.544665 -0.142899 -1.910326
123 0.085072 -1.522016 1.175734
48 0.270625 -1.070958 1.330451
203 0.398264 1.848585 0.397233
229 0.049876 -1.682792 -0.688532
287 0.571099 -0.740010 0.791138
134 0.419288 -0.670559 0.092017
135 0.528215 2.402380 -1.423933
60 0.231394 -1.206099 0.989321
118 0.134455 -0.988865 0.467181
243 0.113854 -1.956451 1.384428
66 0.086768 -0.997991 -2.084902
140 0.205415 -1.079551 -0.792427
37 0.104471 -0.711690 0.104357
38 0.199622 -0.211718 -0.368403
232 0.222036 -0.861689 1.201412
80 0.082644 -1.627122 -1.332987
53 0.080924 1.217312 2.365563
269 0.389301 -1.840743 -2.336874
122 0.295513 -1.784910 -0.017353
249 0.300790 0.246286 0.277585
169 0.057955 -1.225035 -0.108976
167 0.059196 -1.658958 0.358485
2 0.048490 -1.030054 -0.165160
247 0.308349 2.221113 -2.583718
143 0.092570 -0.173213 -0.646099
45 0.027289 2.149639 1.317049
204 -0.037915 -0.345686 0.587788
95 0.040385 -1.112562 0.533024
263 0.302694 -0.783470 -2.147117
191 0.674779 -2.370634 0.722391
221 0.607676 -0.511543 -1.920975
200 0.280170 -1.658412 0.092036
139 0.224058 -1.270569 0.045102
218 0.232314 2.394289 -0.271002
66 0.107425 -1.242493 -1.603051
281 0.203967 0.104757 -0.314431
260 0.461938 1.650959 -0.954407
190 0.370264 1.666276 -1.823311
245 0.289291 1.092698 0.036628
243 0.140908 -1.898923 0.239382
92 0.121742 -1.623333 -0.652517
143 0.107083 0.983080 -0.130778
210 0.129479 -0.923691 0.597742
174 0.227157 -0.058780 0.883031
264 0.178013 1.069462 -0.705384
159 0.093553 0.214930 1.169906
218 0.231161 2.685382 -0.196749
281 0.214974 0.370176 0.408794
186 0.154591 -2.060154 -0.277545
181 0.932954 -1.328492 -2.018758
58 0.044296 -0.421695 -0.847236
176 0.198118 -1.549563 -1.962236
188 0.201951 -1.824600 0.531728
28 0.237604 -0.970188 -0.345029
2 0.006482 -1.241223 -0.069319
179 0.143442 0.157386 -0.262995
17 0.177778 1.068823 -0.857400
54 0.078850 -0.054765 0.041334
122 0.311382 -2.064478 -0.388324
279 0.070331 0.127060 1.857357
238 0.296404 -1.823137 1.073875
48 0.247882 -1.088163 0.592819
244 0.267954 -1.814578 0.692113
278 0.211812 0.262308 -0.687698
289 0.237329 -1.638590 0.865658
79 0.103049 0.449110 0.274730
123 0.102359 0.280190 0.629127
29 0.011510 0.213703 1.330053
292 0.361768 -1.736813 -1.500384
180 0.569308 -0.996838 0.634930
273 0.738657 -2.420294 -0.067914
107 0.078872 2.257081 1.043654
75 0.135014 -0.281132 -0.252125
218 0.240666 2.474276 -0.408237
37 0.131593 -1.364014 1.159968
68 0.218547 0.092033 2.034856
54 0.055145 -0.593419 -1.053790
162 0.090539 -1.253993 -0.062054
108 0.092662 1.468472 0.773736
101 0.214156 -0.657591 0.739448
102 0.021399 -0.750257 -0.863116
25 0.002028 -1.250084 1.554916
98 0.079419 0.060860 -0.376539
217 0.198049 -0.856429 2.086583
103 0.053955 -0.310591 -0.511395
33 0.093851 -0.607957 0.483344
144 0.151091 1.332654 -0.196314
265 0.167885 -0.165623 -0.837772
164 0.178237 -0.553277 1.176315
168 0.615659 -1.112973 0.768493
131 0.520640 -0.847502 -0.850839
279 0.072363 -0.053348 1.719711
128 0.388355 0.987492 -1.137364
245 0.265132 0.606944 0.126764
278 0.210926 0.037775 1.490110
175 0.601127 1.458790 -0.873438
43 0.060173 0.480389 0.483823
61 0.057795 1.038316 1.018561
35 0.192419 1.457140 0.731949
222 0.607598 -0.766470 -1.869413
57 0.076847 1.018313 1.007354
27 -0.005807 -1.343095 0.901052
187 0.177209 -2.094481 0.248243
160 0.071543 -0.490491 1.075251
137 0.154274 -1.886482 -1.090402
105 0.220573 0.667280 0.018576
240 0.090249 -1.880497 -0.564212
202 0.391913 1.501175 -0.434868
135 0.524803 2.273997 -0.112686
214 0.240747 0.753287 2.862405
159 0.090568 -1.177955 1.133031
57 0.092133 0.284903 1.274461
217 0.207172 -0.744879 2.089185
29 0.018231 0.086410 0.550977
211 0.155063 -0.757649 -0.000723
213 0.136470 -0.620120 0.214087
74 0.217844 -1.935412 0.106313
94 0.024937 -0.900245 -0.446742
99 0.196971 1.087181 1.354424
92 0.096706 -1.790846 -0.410511
176 0.194135 -1.198023 -1.978587
29 0.011875 0.114621 0.949769
167 0.065887 -1.887254 0.745374
193 0.264933 0.190172 -0.341362
215 0.298698 1.708064 -2.439566
110 0.048313 1.096469 2.247680
45 0.029236 1.724025 0.106612
251 0.515278 0.608328 -1.737314
82 0.538954 -1.106435 0.773077
82 0.514145 -1.003716 1.094918
58 0.022592 -0.501804 -0.909256
195 0.202281 -1.956957 2.099804
149 0.348001 -0.723560 -0.058886
178 0.227790 0.338517 2.249314
157 0.092582 -0.072703 1.209010
109 0.067323 2.100095 0.670573
244 0.280944 -1.595124 -1.298425
43 0.076937 -0.038095 0.412285
7 0.226576 -0.277951 2.484235
88 0.180866 -0.808706 1.472539
113 0.049390 -1.185329 -0.933873
109 0.051609 1.393991 0.693620
204 -0.033591 -0.582570 0.684220
151 0.532415 -2.138505 0.928458
148 0.444892 -0.529168 1.118150
65 0.147805 0.523303 3.109161
98 0.072654 -0.661419 -0.418932
5 0.241220 0.187412 2.214836
190 0.363832 1.655575 -1.724783
213 0.141070 -0.572616 0.944690
284 0.316104 -0.766929 -1.353600
139 0.255494 -0.638084 -1.021451
224 0.259690 1.281266 2.022028
240 0.088517 -1.592823 -0.794944
64 0.159942 0.385188 0.039854
292 0.401101 -1.900274 -0.901661
7 0.261656 -0.212380 1.574512
196 0.203064 -0.437233 0.012285
259 0.396140 0.621520 -0.124140
193 0.156811 -1.251444 -0.803921
115 0.260361 -0.478241 -1.089087
264 0.200175 0.935279 -0.918005
234 0.187713 -1.385604 -0.447014
46 0.020283 -1.244407 1.589876
174 0.262527 0.177507 0.455462
179 0.152393 0.097475 1.073638
284 0.272658 -0.927815 -1.079058
128 0.385842 0.452872 -0.916767
246 0.210079 0.983518 2.168278
83 0.040488 0.454331 2.174316
152 0.232764 -1.732087 -0.431571
60 0.264731 -1.142860 1.713793
221 0.585634 -1.558224 -1.608158
167 0.067150 -1.821337 -0.154368
184 0.474011 0.400657 0.748070
73 0.199252 -0.756507 0.113538
209 0.116828 -0.991760 0.486236
17 0.178110 0.688945 -0.483549
171 0.121148 0.748351 0.055185
184 0.440957 -0.149441 0.412002
61 0.055016 0.794600 0.576246
143 0.130510 0.675613 -0.089200
60 0.264747 -1.298085 0.967600
295 0.528349 1.568741 -0.101651
193 0.192832 -0.748250 -0.794593
186 0.193668 -2.256014 -0.195425
158 0.067485 -0.662279 0.624783
2 0.030445 -0.374443 0.341455
41 0.188598 1.231892 0.528928
179 0.166803 0.611681 0.943601
204 -0.036829 -0.592204 0.682279
26 0.141865 -0.923550 -0.320694
105 0.232507 0.808996 -0.079808
18 0.170563 0.411527 -0.243425
26 0.188759 -0.539384 -0.029941
256 0.220989 0.233698 -0.561673
108 0.083130 0.289992 0.694962
11 0.075364 -1.030550 -1.785024
274 0.543715 -0.774504 -0.690081
137 0.192221 -1.642021 -1.014890
17 0.169351 0.322402 -1.586441
290 0.053784 -1.936818 0.080783
103 0.097451 0.190797 0.892432
107 0.103118 2.979196 1.115286
214 0.226655 0.901649 3.380296
8 -0.024936 -0.433922 -0.853197
166 0.469586 -0.925186 -1.445474
99 0.191455 1.502187 1.209619
296 0.482713 0.024584 -1.894259
159 0.099349 -0.324901 0.758259
1 0.013256 -0.602093 0.066283
8 0.042865 -0.835782 -0.639527
200 0.252124 -1.764525 0.237185
59 0.013927 2.331897 2.409306
31 0.156983 -0.035812 1.238188
59 0.023889 0.655386 1.893423
211 0.098221 -0.887646 0.479130
207 0.299165 0.367802 -0.426727
86 0.101972 -0.233717 -0.552250
161 0.438092 0.271632 -1.240754
78 0.118425 0.388036 0.407321
133 0.223966 -0.655803 -1.076287
103 0.074282 -0.118125 1.226223
119 0.086231 0.021513 2.363039
286 0.166323 -1.224850 -1.012964
107 0.081106 2.570637 0.675288
148 0.455425 -1.108046 0.982112
240 0.082777 -1.686680 -0.581357
228 0.732293 -1.291758 -0.217497
58 0.043167 -0.286314 -0.776721
64 0.174990 0.802639 -0.458117
100 0.064041 1.215054 -0.504062
203 0.390739 1.508508 0.214248
225 0.214108 -1.680367 -1.011234
286 0.185775 -1.252738 -1.374373
34 0.117576 -0.777714 0.508578
66 0.116100 0.445341 -1.825697
287 0.451777 -1.956062 1.833490
223 0.556818 -1.182223 -0.165355
235 0.060097 -1.457102 -1.073627
133 0.208895 -0.158807 -0.759097
74 0.175679 -1.858140 0.514892
203 0.383206 1.567391 -0.614060
124 0.122781 -2.100523 0.243185
153 0.185801 2.463738 0.561214
157 0.088908 0.321245 1.408790
207 0.294626 0.678643 -0.229050
194 0.147176 -0.047883 -1.250684
252 0.121213 -0.192567 -0.246892
76 0.132504 0.387877 0.583506
203 0.382860 1.250518 -0.906066
104 0.100756 0.604305 0.320966
13 0.083766 -0.919087 -2.095978
49 -0.003563 -0.043103 1.824640
175 0.602573 0.410284 -0.503258
257 0.231053 -0.172821 -1.088372
81 0.027214 -1.887512 -1.935396
210 0.133177 -1.161278 1.163663
70 0.335595 -2.379071 2.352916
267 0.192933 -0.496790 0.004945
258 0.502977 -0.478254 0.348636
208 0.141368 -0.679138 0.765058
23 0.102967 -1.145654 2.539094
238 0.321604 -1.763398 0.958787
100 0.076352 1.417395 -0.432137
231 0.259467 -1.859918 1.519337
45 0.017003 1.805446 0.592460
115 0.203530 -0.903010 -0.878457
105 0.192808 0.598354 0.585835
143 0.087929 0.299446 -0.424066
116 0.301029 -1.476148 -0.742558
42 0.153474 -0.878830 -0.470613
127 0.569710 1.856658 0.272426
224 0.250464 0.774386 1.456219
30 0.140689 -0.598975 0.245912
157 0.095295 -0.404944 0.787264
21 0.161779 0.886548 1.933704
112 0.014579 0.216421 1.227564
240 0.065083 -2.081020 -0.615632
239 0.455480 1.817021 0.850422
282 0.147255 -1.536260 0.942356
166 0.488865 -0.943404 -1.452786
55 0.342016 -0.968568 0.319214
275 0.046497 -1.727881 -2.505169
166 0.440157 -1.200384 -1.337056
78 0.135872 -0.042924 0.558230
2 0.012206 -1.044284 -0.355638
208 0.124491 -0.688158 0.322274
248 0.268904 -1.635187 -1.201341
57 0.103724 1.308497 1.444585
83 0.042344 0.050673 2.208403
279 0.070364 0.046996 1.351968
125 0.131772 0.061935 0.920199
29 0.014827 0.334327 1.004776
89 0.229213 2.019753 -2.146351
208 0.120334 -0.449615 1.144483
70 0.322827 -2.294516 2.392601
31 0.145457 0.020886 1.733254
213 0.137248 -0.672531 1.143485
212 0.142885 -0.155134 1.023313
44 0.230336 -1.087410 0.431618
223 0.552640 -1.431043 -0.755413
286 0.148236 -1.257736 -0.792042
165 0.188122 -0.753748 1.202544
93 0.155798 -1.324032 -0.366435
31 0.162366 -0.062963 0.052666
231 0.275557 -1.869813 -0.933343
244 0.213091 -1.990023 -1.148612
106 0.084353 -0.270821 0.620698
128 0.411914 0.883223 -1.841938
296 0.475497 0.432378 -1.910458
218 0.224644 2.163780 -0.493239
126 0.348180 0.533111 -0.924224
47 0.203476 -0.559136 0.014059
68 0.257768 0.503865 1.792202
8 0.014365 -1.080211 -0.701866
20 0.163234 0.486018 -1.099739
138 0.081386 -1.201763 -0.410111
285 0.419052 -0.533781 -0.833545
137 0.132205 -1.969276 -1.087387
16 0.279514 0.886819 -0.839417
136 0.020557 -2.104123 0.735300
296 0.483051 0.628230 -2.193171
216 0.711752 1.802098 -0.487853
263 0.354989 -0.122388 -1.161427
189 0.178632 -2.222534 -0.423397
214 0.222119 0.998200 2.693981
26 0.162949 -0.143948 -0.132371
44 0.294804 -0.467665 0.361143
112 0.003014 -0.155669 0.953968
149 0.376955 -1.056754 -0.413663
68 0.261935 -0.198124 2.007405
101 0.250570 -0.073108 1.411310
120 0.314398 -1.364050 0.556615
78 0.138019 0.841158 0.785032
39 0.203702 -1.058993 -0.291670
208 0.123017 -0.943976 0.533673
90 0.234351 -0.350036 1.305353
18 0.172216 0.596969 -0.672482
202 0.380279 1.524959 -0.331828
69 0.070911 -1.493028 -1.322709
72 0.332032 0.119217 2.087296
118 0.157493 -1.430208 0.057445
6 0.239741 -0.200561 2.091805
